id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jumlah,satuan,tahun
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,"TIDAK 
SEKOLAH",0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,SD,0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,SLTP,0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,SLTA,0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,TK,0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,PAUD,0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,NA,1,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,"TIDAK 
SEKOLAH",0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,SD,0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,SLTP,0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,SLTA,4,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,"PERGURUAN 
TINGGI",0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,TK,0,KORBAN,2018
32072018,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,PAUD,0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,NA,0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,"TIDAK 
SEKOLAH",0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,SD,0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,SLTP,5,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,SLTA,0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,TK,0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,PAUD,0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,NA,0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,"TIDAK 
SEKOLAH",1,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,SD,6,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,SLTP,3,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,SLTA,1,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,"PERGURUAN 
TINGGI",0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,TK,0,KORBAN,2018
32082018,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,PAUD,0,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,SLTP,1,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,SLTA,0,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,TK,0,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,PAUD,0,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,NA,0,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,"TIDAK 
SEKOLAH",1,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,SD,0,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,NA,1,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,"TIDAK 
SEKOLAH",0,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,SD,5,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,SLTP,6,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,SLTA,2,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,"PERGURUAN 
TINGGI",0,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,TK,1,KORBAN,2018
32092018,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,PAUD,0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,NA,0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,"TIDAK 
SEKOLAH",0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,SD,0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,SLTP,2,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,SLTA,1,KORBAN,2018
